audio_file,text,language,source_audio,source_type
aug_019144.wav,खासतौर पर आप जिस स्थान पर घूमने जा रही हैं उस हिसाब से आपका मेकअप होना आपको अलग ही कॉन्फिडेंस देता है,hi,019144.wav,gan_augmented
aug_002638.wav,स्वभाव से उन्हें यह निश्छल वीरता मिली है जो अपने बचाव के प्रयत्न को भी कायरता की संज्ञा देती है|,hi,002638.wav,gan_augmented
aug_011165.wav,"कांग्रेस के उपाध्यक्ष राहुल गांधी एक ऐसी शख़्सियत के मालिक हैं, जिनसे कोई भी मुतासिर हुए बिना नहीं रह सकता",hi,011165.wav,gan_augmented
aug_010439.wav,लॉर्ड्स में जिस तरह का मौसम है उससे कयास लगाए जा रहे हैं कि गेंदबाजों को मदद मिल सकती है,hi,010439.wav,gan_augmented
aug_002606.wav,धूम्रपान से इन तीव्र ड्रगों के सेवन का रास्ता खुल जाता है|,hi,002606.wav,gan_augmented
aug_015511.wav,"सीरियल में नामल पॉल (शिव), डोनल बिष्ट (शरण्या) और विक्रम सिंह चौहान (व्यूम) का किरदार निभा रहे हैं।",hi,015511.wav,gan_augmented
aug_002077.wav,एंड्रू ब्रिटेन की रॉयल नेवी में कमांडर के पद पर हैं।,hi,002077.wav,gan_augmented
aug_004472.wav,आप किसी वैज्ञानिक पत्रिका या इन्टरनैट से उनके दिखाई देने के समय का पता लगा सकते हैं|,hi,004472.wav,gan_augmented
aug_004850.wav,इस तरह शेख के नैतिक अधिकार की पुष्टि होती थी और आम लोगों का उनकी ओर झुकाव बढ़ता था|,hi,004850.wav,gan_augmented
aug_017811.wav,रोहन गावस्कर को कॉलिंगवुड ने फ़्लिंटऑफ़ की गेंद पर रन आउट किया।,hi,017811.wav,gan_augmented
aug_004624.wav,"आलू तो कोई भी किसान उगा सकता है, उसमें कोई कॉपीराइट उल्लंघन कैसे हो सकता है",hi,004624.wav,gan_augmented
aug_011294.wav,दोपहर को किसी दिवंगत मित्र की भतीजी के विवाह के लिए सौ देना अनिवार्य हो गया|,hi,011294.wav,gan_augmented
aug_000199.wav,"पुरातत्वविदों ने कुछ स्थानों, जिनमें शहरी केंद्र का उत्तर-पूर्वी कोना भी शामिल है, में परिष्कृत चीनी मिट्टी पायी है और उनका यह सुझाव है कि हो सकता है इन स्थानों में अमीर व्यापारी रहते हों|",hi,000199.wav,gan_augmented
aug_018043.wav,"सैम पित्रौदा के बयान पर अमित शाह का वार, कहा राहुल गांधी को माफ़ी मांगनी होगी।",hi,018043.wav,gan_augmented
aug_020493.wav,एकलक के स्वरूप और संरचना के प्रकार के अनुसार बहुलकों को विविध प्रकार के गुणधर्मप्राप्त होते हैं|,hi,020493.wav,gan_augmented
aug_000039.wav,पाच जणांनी पाच काठ्या आणून वडिलांपुढे ठेवल्या.,mr,000039.wav,gan_augmented
aug_005036.wav,येवढ्यात ती भयानक राक्षसीण झोपलेल्या चोरांवर तुटून पडली.,mr,005036.wav,gan_augmented
aug_005616.wav,नकळत येणाऱ्या आठवणींना हे हसू आवरेनासं होतं.,mr,005616.wav,gan_augmented
aug_007646.wav,लोकांनी त्या जुन्या ज्ञानाला नव तेज दिलं.,mr,007646.wav,gan_augmented
aug_005456.wav,"काय रे, तो पांढरा हत्ती चांगला प्रशिक्षित आहे काय",mr,005456.wav,gan_augmented
aug_009595.wav,थोडीशी रक्ताची चटक लागताच तो ते मांस आनंदाने खाऊ लागला.,mr,009595.wav,gan_augmented
aug_009126.wav,"सतत सराव, निधिध्यास, दिवस रात्र केलेलं चिंतन, नेमबाजी, उंचावरील वस्तूचा अचूक वेध घेणे.",mr,009126.wav,gan_augmented
aug_009794.wav,त्या योजनेप्रमाणे सर्व धर्मनिष्ठांना आचरण करण्याच्या आज्ञा सोडल्या.,mr,009794.wav,gan_augmented
aug_003236.wav,परदेशात अनेक ठिकाणी घरबसल्या ऑफिसचे काम करण्याची सुविधा कंपन्यांनी आपल्या कर्मचारी वर्गाला देऊ केली आहे.,mr,003236.wav,gan_augmented
aug_003220.wav,ऊर्जा निर्मितीच्या बाबतीत हायड्रोजन सर्वात कार्यक्षम इंधन ठरते.,mr,003220.wav,gan_augmented
aug_004486.wav,"टेल्को, बजाज ऑटो, टेम्पो, महिन्द्रा, एस्कॉर्ट्स, एसटी या गाड्या दिसल्या.",mr,004486.wav,gan_augmented
aug_006300.wav,राघू मग त्या लाखो रुपये किंमतीपैकी सध्या मला पतंग आणायला फक्त एक रुपया देतोस का,mr,006300.wav,gan_augmented
aug_002009.wav,एके दिवशी स्वराच्या माधुर्याची किर्ती एका राजाला कळली.,mr,002009.wav,gan_augmented
aug_003358.wav,इमारतीच्या अंतर्गत सजावटीमध्ये रंगीत प्रकाश मिळविताना बहुधा रंगीत काच फिल्टर म्हणून वापरली जाते.,mr,003358.wav,gan_augmented
aug_008910.wav,"डोंगरावरची झाडं हसली, सळसळली.",mr,008910.wav,gan_augmented
aug_005555.wav,जवळी आलीस तेव्हा श्वासात कैफ आला,mr,005555.wav,gan_augmented
aug_009000.wav,चोरीची किंवा चोराची पुराव्यासह जो बित्तंबातमी देईल त्याला कोतवालसाहेब माठे बक्षिस देतील.,mr,009000.wav,gan_augmented
aug_004277.wav,बाळाला पायान्वर उताणे किवा मउ गादिवर प्लस्टिक अन्थरून दुपट्यावर उताणे ठेवावे.,mr,004277.wav,gan_augmented
aug_006992.wav,भारतीय संगीताच्या हृदयाची या दोघीही स्पंदन असल्याचेही त्यांनी या वेळी सांगितले.,mr,006992.wav,gan_augmented
aug_004174.wav,सर्व सैनिकाच्या रोमहर्षक कथाचा संग्रह तरूणांना प्रेरक ठरेल,mr,004174.wav,gan_augmented
aug_003921.wav,"ती अतिशय तीव्र, उष्ण, अतिसुक्ष्म व तीव्र असते.",mr,003921.wav,gan_augmented
aug_006477.wav,अधिक ज्यू आता मोकळ्या आणि आधुनिक विचारांचे होते आहेत.,mr,006477.wav,gan_augmented
aug_000960.wav,स्थूलदेहाचा अशक्तपणा वाढून मनाचे कार्यही व्यवस्थित होत नाही.,mr,000960.wav,gan_augmented
aug_006735.wav,तारखांमधील हा असमतोल विदर्भातील विद्यार्थ्यांचा शैक्षणिक अभ्यासक्रम माघारण्यास कारणीभूत ठरायचा.,mr,006735.wav,gan_augmented
aug_000907.wav,"मानवाचे स्वास्थ्य पर्यावरणावर अवलंबून आहे, त्यामुळे पर्यावरणाच्या स्वास्थ्याकडे लक्ष देणे अत्यावश्यक आहे !",mr,000907.wav,gan_augmented
aug_007718.wav,"ठीक आहे, मीही या ढोंगी ऋषीचा अपमान करीन!",mr,007718.wav,gan_augmented
aug_000431.wav,"आमची आबाळ सुरु झाली, लोक स्वार्थाच्या मागं लागले.",mr,000431.wav,gan_augmented
aug_000466.wav,तसा प्रयत्न पुन्हा संतसज्जनांनी केला पाहिजे.,mr,000466.wav,gan_augmented
aug_008260.wav,"परंतु तो उठला, ते पूर्वजांचे घर सोडून तो निघाला.",mr,008260.wav,gan_augmented
aug_002339.wav,"सरोवराच्या आंतून मधुर संगीत ऐकून व कोणते तरी वाद्य वाजत आहे, हे ओळखून राम चकित झाला.",mr,002339.wav,gan_augmented
aug_004956.wav,तिसर्‍या मस्तकाने विश्वात होणार्‍या सर्व घटनांचे निरीक्षण तो करीत असे.,mr,004956.wav,gan_augmented
aug_005905.wav,स्वप्नामधल्या स्वप्नफ़ुला रे वास्तवात तू येशील का,mr,005905.wav,gan_augmented
aug_010572.wav,होता होता झाड थोडे मोठे झाले की आपल्या वर्गातली सगळी मुले मिळून आपण त्याची रोपे डोंगरावर लावूयात.,mr,010572.wav,gan_augmented
aug_010527.wav,या राज्याच्या जुलमी राजाला ताळ्यावर आणण्यासाठी मी माझे प्राणही पणाला लावीन.,mr,010527.wav,gan_augmented
aug_006888.wav,हसल्यानंतर शरीरात निर्माण होणारे काही स्राव रक्ताभिसरण सुरळीत ठेवण्यास मदत करतात.,mr,006888.wav,gan_augmented
aug_010555.wav,काही दिवसांनी चौकशी केल्यावर देवाच्या लक्षात आले की माणसांना संपूर्ण अंधाराची खूपच गैरसोय होते आहे.,mr,010555.wav,gan_augmented
aug_003945.wav,बाल गुन्हेगारासाठी माटुंग्याला एक शाळाही काढली व तांत्रिक शिक्षणाचा प्रसारासाठी ससून मेकॅनिक्स इन्स्टिट्यूटची स्थापना केली.,mr,003945.wav,gan_augmented
aug_006027.wav,मुंबईची मराठी भाषा हल्ली खिचडी भाषा झाली आहे.,mr,006027.wav,gan_augmented
aug_002766.wav,आणखी एका मदतनीसाच्या उंटावर बसलेला स्वर्णाचारी मदत मागण्यासाठी मोठमोठ्याने ओरडूं लागला.,mr,002766.wav,gan_augmented
aug_005087.wav,"तुझ्याजवळ अमाप संपत्ती आहे, धनदौलत आहे.",mr,005087.wav,gan_augmented
aug_001050.wav,"जगात देव नाही, धर्म नाही मरता येत नाही म्हणून जगायचे.",mr,001050.wav,gan_augmented
aug_000520.wav,"पिताजी ध्यानमग्न आहेत, आलेल्या राजाचं स्वागत आपण केलं पाहिजे!",mr,000520.wav,gan_augmented
aug_006143.wav,'संत साहित्य नुसते वाचू नका अशी तक्रार आहे ब्रम्हचैतन्य गोंदवलेकर महाराजांची .,mr,006143.wav,gan_augmented
aug_007328.wav,"आपण ह्या सोशल नेटवर्किंग च्या जमान्यात वावरणारे, रोज असंख्य नाती जोडतो.",mr,007328.wav,gan_augmented
aug_003218.wav,भारतामध्ये सुध्दा आधुनिक तंत्राच्या सहाय्याने सूर्यशक्तिचे प्रकल्प अनेक ठिकाणी सुरू आहेत.,mr,003218.wav,gan_augmented
aug_006642.wav,त्यामुळे जातींवरून राखीव जागा देण्याचा प्रश्‍नच उद्‌भवत नाही.,mr,006642.wav,gan_augmented
aug_010421.wav,ऋषीने राजाचे स्वागत केले व त्याला फलाहार दिला.,mr,010421.wav,gan_augmented
aug_006924.wav,पहाटेच्या नीरव शांततेत बैलांच्या गळ्यातील घुंगूरमाळा खुळखुळत आहेत.,mr,006924.wav,gan_augmented
aug_001807.wav,ही सूचना ऐकल्यावर सर्व पशु आपापल्या मुलांना घेऊन प्रतियोगितेच्या ठिकाणी हजर झाले.,mr,001807.wav,gan_augmented
aug_008679.wav,आईला बरे नाही म्हणून संध्याकाळी बाबा स्वयंपाक करत होते.,mr,008679.wav,gan_augmented
aug_007629.wav,आम्हाला पुन: चांगले दिवस येतील अशी खात्री वाटते आहे !,mr,007629.wav,gan_augmented
aug_005019.wav,उदाहरण म्हणून मी तुला सत्यकीर्ती नावाच्या राजाची गोष्ट सांगतो.,mr,005019.wav,gan_augmented
aug_005620.wav,माझ्या हातांची जागा माझ्या ओठांनी घेतली,mr,005620.wav,gan_augmented
aug_007696.wav,शमीक ऋषी महान तपस्वी आणि परोपकारी वृत्तीचे होते.,mr,007696.wav,gan_augmented
aug_006977.wav,"याप्रसंगी फादर फ्रान्सिस दिब्रिटो, उदय भेंब्रे, पावलू मोरायश यांचीही भाषणे झाली.",mr,006977.wav,gan_augmented
aug_000083.wav,साधारण साडे नऊ ची वेळ असावी.,mr,000083.wav,gan_augmented
aug_007683.wav,"भक्तीला आनंद झाला, तिने नारदांचे आभार मानले.",mr,007683.wav,gan_augmented
aug_008250.wav,"परंतु ते कबूल करून गावाची क्षमा मागण्याऐवजी तू दंभ दाखवीत आहेस, काय याला म्हणावं.",mr,008250.wav,gan_augmented
aug_007602.wav,"त्यागराजला आश्‍चर्य वाटले, त्याने विचारले, तुम्ही मला नमस्कार का करता ?",mr,007602.wav,gan_augmented
aug_010365.wav,"शबरीचे केस नीट विंचरुन कोणीही आजपर्यंत बांधले नव्हते, ऋषिपत्नी शबरीच्या केसांत सुंदर फुले घाली.",mr,010365.wav,gan_augmented
aug_001926.wav,"तुम्ही आश्चर्यचकित होऊन विचारलंत मला, की कोणाकडे ही विद्या शिकलास?",mr,001926.wav,gan_augmented
aug_009057.wav,"एक कोळी होता, रोज मासे पकडायचे, ते विकायचे, आणि जे पैसे येतील त्यावर उपजीविका करायची असा त्याचा जीवनक्रम होता.",mr,009057.wav,gan_augmented
aug_001391.wav,होता होता झाड थोडे मोठे झाले की आपल्या वर्गातली सगळी मुले मिळून आपण त्याची रोपे डोंगरावर लावूयात.,mr,001391.wav,gan_augmented
aug_008477.wav,"सासरचे तिचे नाव यशोदा ठेवण्यात आले होते, सासरी ती लहानाची मोठी होत होती.",mr,008477.wav,gan_augmented
aug_009871.wav,त्यायोगे तो पुण्यकारक भागवतसप्ताह सगळ्या लोकांना श्रवण करण्याचे श्रेय लाभले.,mr,009871.wav,gan_augmented
aug_003589.wav,असा रुग्ण असल्यास श्वसनोपचार देऊन ताबडतोब डॉक्टरकडे पाठवावे.,mr,003589.wav,gan_augmented
aug_001454.wav,आजोबांनाही ही माहिती नवीनच होती.,mr,001454.wav,gan_augmented
aug_010725.wav,त्या रात्री आईबाबांचे बोलणे मंजूच्या कानावर पडले.,mr,010725.wav,gan_augmented
aug_002184.wav,"इथे तुंगा, सती, सुनी, कीर्ती व भृंगारी व पाच छोटया नद्यांचा संगम आहे.",mr,002184.wav,gan_augmented
aug_000605.wav,दासीपुत्र असलास तरी तू ब्राह्मणच असला पाहिजेस.,mr,000605.wav,gan_augmented
aug_010438.wav,मायबापच कळत वा नकळत मुलाला लहान किंवा मोठा करत असतात.,mr,010438.wav,gan_augmented
aug_002011.wav,राजवाडयाच्या मोहात तो आपल्या झऱ्याला आणि सृष्टिला विसरून गेला होता.,mr,002011.wav,gan_augmented
aug_005708.wav,डबल ग्रॅज्युएट मुलीलाही मान वर करून,mr,005708.wav,gan_augmented
aug_001405.wav,निसर्गाने जणू आपला सर्व खजिना या प्रांतावर अगदी मुक्तहस्ते उधळलाय.,mr,001405.wav,gan_augmented
aug_004396.wav,त्यांच्यातील एकाने मग त्याला चौकीवर नेलं चौकीतील लोकांनी टेहरेशी संपर्क साधला.,mr,004396.wav,gan_augmented
aug_006199.wav,लोकसभा आणि विधानसभांच्या निवडणुकीत शरद पवारांसारखा एकच शिलेदार महाराष्ट्राच्या स्वाभिमानाची पताका घेऊन महाराष्ट्रभर फिरला.,mr,006199.wav,gan_augmented
aug_008253.wav,"सभा संपली, मनूला 'खूनी मनू' म्हणून संबोधन्यात येऊ लागले.",mr,008253.wav,gan_augmented
aug_002996.wav,तो व बोधिसत्व परस्परांच्या सल्ल्याने कोठे जायचे ते ठरवून व्यापार करीत.,mr,002996.wav,gan_augmented
aug_010601.wav,पण आता तिला बरे करायचे आहे म्हणून काळजी घेत होती.,mr,010601.wav,gan_augmented
aug_008270.wav,तो काळ आर्यांच्या विजयाचा व विस्ताराचा होता.,mr,008270.wav,gan_augmented
aug_003893.wav,तिच्या भुकेने वासलेल्या ओठांकडे माझे लक्ष नसते,mr,003893.wav,gan_augmented
aug_000514.wav,"तहानेने व्याकुळ झालेला तो राजा त्या अपमानामुळे अधिकच संतापला, त्याला विचारच राहिला नाही.",mr,000514.wav,gan_augmented
aug_002488.wav,तुझी अगाध लीला कळण्याइतका मी मोठा आहे कां रे?,mr,002488.wav,gan_augmented
aug_005917.wav,"दहासहा ऑफ़िसमध्ये काम करणारी स्त्री सगळ्यानांच खुप सुखी, आनंदी वाटते.",mr,005917.wav,gan_augmented
aug_010153.wav,या दिवशी बळी पाताळात गाडला गेला.,mr,010153.wav,gan_augmented
aug_006176.wav,तामीळनाडूत द्रमुकची सत्ता असली तरी मतविभागणीस लाभ कॉंग्रेसचा झाला.,mr,006176.wav,gan_augmented
aug_008177.wav,काहीजणांना वैद्यांनी त्यांच्या रोगाला अनुसरून भरपूर पाणी पिण्यास सांगितलेले असते.,mr,008177.wav,gan_augmented
aug_010067.wav,"प्रल्हादाच्या भक्तीमुळे घाबरू नये, त्याचा हा अखेरचा जन्म असून, तो मोक्षार्थी आहे.",mr,010067.wav,gan_augmented
aug_002336.wav,म्हणूनच तुम्ही या जंगलांत पाऊल टाकण्याचे साहस केलेत.,mr,002336.wav,gan_augmented
aug_009970.wav,"तेव्हा तो म्हणाला, `ह्याचे उत्तर मला देता येत नाही.",mr,009970.wav,gan_augmented
aug_007525.wav,त्याची मुलगी वीरमती हिला राजाने स्वतःच्या मुलीप्रमाणे सांभाळले.,mr,007525.wav,gan_augmented
aug_008013.wav,पुष्कळ स्त्रियांचा या दिवशी उपवास असतो.,mr,008013.wav,gan_augmented
aug_004623.wav,आपल्या तोंडून निघालेला हा श्लोक पाहून खुद्द महर्षींनाच आश्चर्य वाटले.,mr,004623.wav,gan_augmented
aug_000115.wav,"माझ मन, त्या दोघांची तुलना करण्यात व्यस्त झाल.",mr,000115.wav,gan_augmented
aug_003651.wav,स्वतःच चित्रीकरण केलेल्या शॉट्सचा समावेश असावा अन्यथा कॉपीराईट कायद्याचा भंग केल्याबद्दल शिक्षा होऊ शकते,mr,003651.wav,gan_augmented
aug_000378.wav,ते ऐकून जटीलला प्रश्न पडला.,mr,000378.wav,gan_augmented
aug_003574.wav,यामुळे रुग्ण पोट दाबून हातपाय दुमडून कुशीवर पडून राहण्याचा प्रयत्न करतो.,mr,003574.wav,gan_augmented
aug_002399.wav,येणार्या कल्पांत तू वैवस्वत या नांवे मनू होशील!,mr,002399.wav,gan_augmented
aug_003140.wav,त्यांत त्यांनी लावलेले शोध व अवलंबिलेल्या पध्दति हें त्यांच्या कुशाग्र बुध्दीचें अक्षय्य स्मारक आहे.,mr,003140.wav,gan_augmented
aug_002182.wav,नंतर प्रुडेन्शियल टॉवर्स नावाच्या बॉस्टनच्या एका उंच इमारतीतून आजूबाजूचा नजारा पाहिला.,mr,002182.wav,gan_augmented
