audio_file,text,language,speaker,source_file,gender,source_type
000246.wav,"But these king's witnesses were also put at times into the press yard among the capital convicts, seemingly a very dangerous proceeding,",en,LJSpeech_single_speaker,LJ002-0060.wav,,real
002365.wav,"who preaches plain, homely discourses, as fit as any religious discourse can be fit for the irritated audience.",en,LJSpeech_single_speaker,LJ009-0078.wav,,real
012755.wav,इससे खाद्य उत्पादन बढ़ा है इस विधि का प्रयोग पादप खाद्यों के प्रोटीन अंशों तथा खाद्य की गुणवत्ता को बढ़ाने में किया जाता है|,hi,unknown,sample_12854,,real
016970.wav,"धन तेरस पर उपरोक्त उपाय करने से निश्चित ही धन्वंतरि, कुबेर एवं यम देवता प्रसन्न होंगे व आपके घर को खुशियों से भर देंगें",hi,unknown,sample_17097,,real
012422.wav,"He did not have a checklist of the tasks he was expected to accomplish, either by his own efforts or with the cooperation of local authorities.",en,LJSpeech_single_speaker,LJ048-0118.wav,,real
006345.wav,अत्यल्प किमतीला खरेदी केलेला माल मॉलमध्ये अत्युच्च किमतीला विकला जाईल.,mr,unknown,,male,real
001115.wav,"मग बोल, तुझे म्हणणे काय आहे ते, मुलीस तिथे पाठविण्यास तुझी संमती आहे ना, ती तुझ्यासारखीच अडाणी राहावी, असे तुला वाटते का.",mr,unknown,,female,real
013153.wav,अपने हठी और क्रोधी स्वभाव के कारण ही दुर्योधन ने कौरवों की ग्यारह 'अक्षौहिणी सेना' को मरवा डाला।,hi,unknown,sample_13255,,real
005289.wav,With her assistance on a certain day a couple of bricks were taken out of the wall dividing her front and back parlors;,en,LJSpeech_single_speaker,LJ018-0152.wav,,real
005726.wav,feeling that it approached too nearly to solitary confinement.,en,LJSpeech_single_speaker,LJ019-0191.wav,,real
017146.wav,हम अपना भोजन पौधों अथवा जंतुओं या दोनों से ही प्राप्त करते हैं|,hi,unknown,sample_17274,,real
009627.wav,"Scoggins lost sight of him behind some shrubbery on the southeast corner lot,",en,LJSpeech_single_speaker,LJ037-0014.wav,,real
007093.wav,यावेळी मुख्यमंत्र्यांनी राऊत भगिनींना प्रत्येकी पाच लाख रुपये देण्याची घोषणा केली.,mr,unknown,,male,real
000556.wav,तेथे व्यासपुत्र शुकमुनींची स्वारी आली.,mr,unknown,,female,real
002960.wav,"The sermon ended with an appeal to the dying man, exhorting him to penitence.",en,LJSpeech_single_speaker,LJ011-0052.wav,,real
010237.wav,वोज्नियाकी के साथ हुए खिताबी मुकाबले के दौरान ओसाका को मेडिकल ट्रीटमेंट भी दिया गया।,hi,unknown,sample_10314,,real
011613.wav,he made no attempt to help her and there are other indications that he did not want her to learn that language.,en,LJSpeech_single_speaker,LJ045-0062.wav,,real
004162.wav,'खेम देउ गेले तव मीची मी एकली' ही ओळ कुठेतरी आहे.,mr,unknown,,female,real
004221.wav,डीएनए जो दूसरी पीढ़ी के संवर्धन से निष्कर्षित किया गया कि समान मात्रा में संकरित डीएनए हल्के डीएनए से मिलकर बना होता है|,hi,unknown,sample_4247,,real
000663.wav,पण प्रियमेधाला काही इतके आयुष्य नव्हते.,mr,unknown,,female,real
021351.wav,"कोटरेल, केसरिक विलियम्स, लेग स्पिनर हेडन वाल्श और जैसन होल्डर को अनुशासित प्रदर्शन करना होगा",hi,unknown,sample_21507,,real
007721.wav,इतक्यात एका झाडाखाली मेलेला एक सर्प राजाच्या दृष्टीस पडला.,mr,unknown,,male,real
006775.wav,इथे खाल्लेला आइस्क्रीमचा नवीन प्रकार म्हणजे चीजआइस्क्रीम.,mr,unknown,,male,real
001553.wav,"आईच्या डोळयात पाणी आले, तिने मंजूला कुशीत घेत म्हटले, मंजू आपल्या अपंगत्वावर आपणच मात करायला शिकले पाहिजे.",mr,unknown,,female,real
001229.wav,and so passing by the roof down into the garden and on to freedom.,en,LJSpeech_single_speaker,LJ005-0110.wav,,real
012159.wav,यह गैस नीले रंग की होती है और प्रकृति में तीक्ष्ण और विषैली होती है|,hi,unknown,sample_12253,,real
010282.wav,"This is a definite advantage to the shooter, the vehicle moving directly away from him and the downgrade of the street, and he being in an elevated position",en,LJSpeech_single_speaker,LJ039-0096.wav,,real
017045.wav,सर्वप्रथम किसी एक समूह के तत्त्वों के धात्विक गुणधर्म पर विचार करके देखें|,hi,unknown,sample_17172,,real
009521.wav,"उनमें ताज महल और जंतर-मंतर वेधशाला के साथ-साथ महाराष्ट्र की अजिंठा, वेरुल, घारापुरी की गुफाएँ, छत्रपति शिवाजी महाराज रेल स्थानक, पश्चिम घाट में कास पठार का समावेश है|",hi,unknown,sample_9593,,real
007501.wav,"Had the Babylonians been apprised of what Cyrus was about, or had they noticed their danger, they would never have allowed the Persians to enter the city,",en,LJSpeech_single_speaker,LJ028-0243.wav,,real
004370.wav,"He was known to the whole criminal fraternity as a high-class receiver of stolen goods, a negotiator more especially of stolen paper,",en,LJSpeech_single_speaker,LJ015-0269.wav,,real
007986.wav,सारखा कचरा होतो आणि झाडावा लागतो.,mr,unknown,,male,real
010661.wav,एक्हार्ट टॉल के लेखन में आध्यात्मिकता की पर्याप्त उपस्थिति रहती है।,hi,unknown,sample_10740,,real
008128.wav,'झाडांचे गोपनीय जीवन' हा पीटर टोम्पकिन्स आणि क्रिस्टोफर बर्ड या शास्त्रज्ञांचा ग्रंथ त्या नियमांचे विश्लेषण करून ते सिद्ध करतो.,mr,unknown,,male,real
014526.wav,"भारत और बांग्लादेश के बीच मुहूरी, मोनू, धारला, खोवाई, गुमटीख् और दुधकुमार, छह नदियां बहती हैं।",hi,unknown,sample_14638,,real
006094.wav,"त्यांनी म्हटले होते, मातृभाषेवर प्रभुत्त्व असल्याशिवाय परकीय भाषेवर प्रभुत्त्व मिळविता येणार नाही.",mr,unknown,,male,real
012278.wav,I don't recall the exact date. It was about a week prior. End quote.,en,LJSpeech_single_speaker,LJ047-0223.wav,,real
010762.wav,भूमध्य रेखा पर 'जी' का मान सबसे कम अर्थात् {9.77}{नौ दशमलव सात सात} एम बै एस टू होता है|,hi,unknown,sample_10842,,real
009390.wav,"राजाने त्याला म्हटले, मी तर तुझा कधीच त्याग केला नाही, तू मला सोडून का जात आहेस.",mr,unknown,,male,real
013080.wav,मनोज तिवारी ने विवादित बयान देते हुए राहुल को मेंटली डिस्टर्ब्ड करार दिया।,hi,unknown,sample_13182,,real
016928.wav,"गुन्डागर्दी और लठैती हमारे राष्ट्रीय खेल हैं, लोग खामखाँ ही बाकी खेलों में पदक न मिलने का रोना रोते रहते हैं।",hi,unknown,sample_17054,,real
015156.wav,इस सप्ताह प्रदर्शित फिल्म ''खजूर पे अटके'' आपको हल्के फुल्के अंदाज में मानवीय मूल्यों का अहसास कराती है।,hi,unknown,sample_15275,,real
012210.wav,हिटलर की तथाकथित हस्तलिखित दैनंदिनी बरामद होने का समाचार प्रकाशित हुआ परंतु कालांतर में यह सिद्ध हुआ कि दैनंदिनियाँ जाली थीं|,hi,unknown,sample_12304,,real
014559.wav,चश्मदीदों ने बताया कि इस हादसे के बाद पटरियों के दोनों ओर खून से सनी लाशें पड़ीं थीं,hi,unknown,sample_14671,,real
007494.wav,"हे पहा, मला राजवाड्याची आवश्यकता नाही.",mr,unknown,,male,real
000475.wav,"त्या दोन वृध्दांजवळ नारदमुनी बसले, त्यांनी त्यांच्या अंगावरुन हात फिरवले, त्यांना शीतोपचार केले.",mr,unknown,,female,real
006349.wav,of making full use of existing employment services and to assist people engaged in relief work,en,LJSpeech_single_speaker,LJ022-0098.wav,,real
019822.wav,अनेक अनुकूलन लंबे समय की विकास यात्रा के बाद विकसित हुए हैं और आनुवंशिकत स्थिर हो गए हैं|,hi,unknown,sample_19970,,real
005956.wav,धुएँ में नाइट्रोज़न के ऑक्साइड उपस्थित हो सकते हैं जो अन्य वायु प्रदूषकों तथा कोहरे के संयोग से धूम कोहरा बनाते हैं|,hi,unknown,sample_5998,,real
009958.wav,"सत्यकाम विनयाने म्हणाला, `मनुष्याखेरीज इतर प्राण्यांनीच मला शिकविले.",mr,unknown,,male,real
012852.wav,स्लीप डिस्क की समस्या से छुटकारा पाने के लिए पांच लौंग व पांच काली मिर्च को पीस लें,hi,unknown,sample_12952,,real
008344.wav,जया जेटली ने इससे पहले पुराने राजनीतिक सहयोगी जार्ज फर्नान्डीज से मुलाकात के लिए हाई कोर्ट का दरवाजा खटखटाया था,hi,unknown,sample_8405,,real
018248.wav,पहले अखबारों में छपा कि एक फर्म से दूसरी फर्म में तीन लाख रूपए जमा होने की तस्दीक हो गई है,hi,unknown,sample_18384,,real
007035.wav,किस भाग में जनसंख्या अत्यंत कम है? अभी तक किए गए ब्राज़ील देश के अध्ययन के आधार पर जनसंख्या के असमान वितरण के लिए कौन-कौन-से कारक कारणीभूत होंगे इस पर एक टिप्पणी लिखिए|,hi,unknown,sample_7087,,real
016308.wav,"अच्छे कुल में जन्मी हुई व्यक्ति अगर ज्ञानी न हो, तो उसके अच्छे कुल का क्या फायदा",hi,unknown,sample_16431,,real
004940.wav,"स्पर्श साधन जिनमें ब्रैल लेखन पाटी तथा शलाका सम्मिलित हैं, चाक्षुष विक्रुति युक्त व्यक्तियों को पढ़ने तथा लिखने में सहायता करते हैं|",hi,unknown,sample_4974,,real
001859.wav,शंकांनी घेरलेल्या उद्याच्या लाभासाठी आजच्या हातात गवसलेल्या लाभावर पाणी सोडणे अगदी मूर्खपणाचे कृत्य होईल.,mr,unknown,,female,real
005799.wav,"पराभवाचे घाव झेलता, हसवायची युक्ती दे.",mr,unknown,,male,real
005010.wav,"Miss Bankes seems to have counted upon some species of whitewashing, no less than the repudiation of the other marriage,",en,LJSpeech_single_speaker,LJ017-0155.wav,,real
004329.wav,"इस समय शरीर की लंबी अस्थियों की, अर्थात् हाथ एवं पैरों की अस्थियों की, लंबाई में वृद्धि होती है और व्यक्ति लंबा हो जाता है| निम्न चार्ट में लड़के व लड़कियों की आयु के साथ लंबाई में वृद्धि की औसत दर को दर्शाया गया है|",hi,unknown,sample_4359,,real
010546.wav,देवाला आश्चर्य वाटले.,mr,unknown,,female,real
008608.wav,भारतीय मौसम विभाग के एडिशनल डीजी मृत्युंजय महापात्रा ने एनडीटीवी से कहा कि कल सुबह तूफान फानी पश्चिम बंगाल पहुंचेगा,hi,unknown,sample_8672,,real
001378.wav,"It was laid down as a first and indispensable principle that uniformity of discipline should prevail everywhere,",en,LJSpeech_single_speaker,LJ005-0259.wav,,real
007489.wav,whereupon they withdrew within their defenses.,en,LJSpeech_single_speaker,LJ028-0231.wav,,real
011602.wav,फिर अभी तो वह प्रथम वर्ष के पूर्वार्ध में ही है| अभी से उसे ऐसा कोई कदम नहीं उठाना चाहिए|,hi,unknown,sample_11689,,real
014465.wav,फॉर्मूला चैम्पियन लेविस हैमिल्टन ने फेरारी के रेसर सेबेस्टियन वेटल को पछाड़ते हुए जर्मन ग्रांप्री खिताब पर अपना कब्जा किया।,hi,unknown,sample_14576,,real
018933.wav,"इतना ही नहीं उन्होंने बच्चों की मौत के पीछे वजन में कमी, समयपूर्व प्रसव, न्यूमोनिया और दूसरे संक्रमणों का बहाना बनाया",hi,unknown,sample_19074,,real
012274.wav,प्रक्षेपक को लगने वाला ईंधन भी इसी आधार पर निश्चित किया जाता है| वास्तव में प्रक्षेपक में ईंधन का ही भार बहुत अधिक होता है|,hi,unknown,sample_12368,,real
006594.wav,"बिस्किटे, नाष्टा अशी येथे पद्धत नाही.",mr,unknown,,male,real
003719.wav,स्कूल में बुधवार को आयोजित विचित्र वेशभूषा प्रतियोगिता में नन्हे बच्चों में मनमोहक रूप और स्वांग रचकर सभी का मन मोह लिया,hi,unknown,sample_3743,,real
000749.wav,"नंतर त्याने विचार केला, देव अतुल पराक्रमी आहेत, त्यांनी माझा पिता व बलाढ्य असुर यांना धुळीस मिळवले.",mr,unknown,,female,real
005258.wav,"was the case of the forgeries upon the Bank of England discovered in 1863,",en,LJSpeech_single_speaker,LJ018-0121.wav,,real
013100.wav,ग्लुकोज़ के विलयन में योग्य परिस्थिती में यीस्ट मिलाने पर अल्कोहल बनना|,hi,unknown,sample_13202,,real
004236.wav,He began in a very small way.,en,LJSpeech_single_speaker,LJ015-0135.wav,,real
009797.wav,इस प्रकार सूर्य की पृथ्वी से दूरी लगभग आठ प्रकाश मिनट है|,hi,unknown,sample_9872,,real
012200.wav,"The CIA message was sent also to the Department of State where it was reviewed by personnel of the Passport Office, who knew from Oswald's file",en,LJSpeech_single_speaker,LJ047-0145.wav,,real
001457.wav,and limited it to Newgate alone. Newgate indeed became the sole theme of their first report.,en,LJSpeech_single_speaker,LJ006-0039.wav,,real
002673.wav,माझी एकमात्र इच्छा आहे कीं आता तरी तू विचार बदलावास.,mr,unknown,,female,real
020875.wav,क्या ब्राह्मणों के प्रति तोंदराडिप्पोडि और अप्पार के विचारों में समानता है अथवा नहीं|,hi,unknown,sample_21031,,real
004411.wav,खोबर्याच मिश्रण फीशफ्राय करताना लावतात हे पहिल्यांदाच वाचत आहे,mr,unknown,,female,real
006667.wav,a new and younger judge shall be added to the court automatically.,en,LJSpeech_single_speaker,LJ024-0072.wav,,real
010184.wav,"on April 10, 1963.",en,LJSpeech_single_speaker,LJ038-0304.wav,,real
000651.wav,"पुढे सत्यकाम मोठा प्रख्यात ऋषी झाला, आणि त्याच्याजवळ शिकून पुष्कळ शिष्य ज्ञानी झाले.",mr,unknown,,female,real
004864.wav,"हाँ, मैं जानता हूं कि सत्यापन के लिए उन्हें इसकी ज़रूरत रहेगी।",hi,unknown,sample_4898,,real
008702.wav,अशा वेळी त्याला अत्यंत रडू येत असे.,mr,unknown,,male,real
008285.wav,इसकी शुरुआत गीता निकेतन वरिष्ठ माध्यमिक विद्यालय ट्योंठा में स्कूल के एमडी कविराज शर्मा ने की।,hi,unknown,sample_8346,,real
004524.wav,पक्षियों से लेकर वायु और अंतरिक्ष यान इसलिए निर्द्वन्द्व उड़ते हैं।,hi,unknown,sample_4555,,real
010339.wav,"आधुनिक युग के प्रसिद्ध नाम हैं प्रेम जनमेजय, हरीश नवल, ज्ञान चतुर्वेदी, लतीफ घोंघी।",hi,unknown,sample_10417,,real
009745.wav,"ती ऐकताच तो भीतीने गारठला, काय करावे, हेच त्याला सुचेना.",mr,unknown,,male,real
000741.wav,विभाग ने बंदरों को पकड़ने के लिए चार सदस्यीय ग्रामीण क्षेत्रों में कमेटियां भी बनानी शुरू की हैं,hi,unknown,sample_745,,real
016769.wav,"तम्बाकू के दुष्प्रभावों के बारे में हम सभी जानते हैं लेकिन शराब, सुपारी और मोटापे के दुष्प्रभावों को बहुत कम लोग जानते हैं",hi,unknown,sample_16895,,real
006931.wav,टिकट कन्फर्म होने के बाद विधायक निर्भय शाहाबादी व केदार हाजरा को बधाई मिलने का दौर शुरू हो गया,hi,unknown,sample_6982,,real
001943.wav,They go on to say,en,LJSpeech_single_speaker,LJ007-0217.wav,,real
007315.wav,"Nebuchadnezzar, or Nebuchadrezzar, as his name should be spelled, was the greatest character in Babylonian history,",en,LJSpeech_single_speaker,LJ028-0056.wav,,real
021814.wav,उपन्यास को पढ़ने की उत्कंठा अंत तक बनी रहती है और यही इसकी सबसे बड़ी विशेषता है।,hi,unknown,sample_21978,,real
000406.wav,"चोरांनाही आश्चर्य वाटले, ते दोन्ही रक्षक नाहीसे झाले होते.",mr,unknown,,female,real
021581.wav,पुराने अखरोट की खुशबू वाला क्लैरी सेज तेल बाकी तेलों से थोड़ा अलग होता है,hi,unknown,sample_21741,,real
001921.wav,"to give better light and ventilation; the construction of bed-places, three tiers high alongside the walls for males, two tiers for females;",en,LJSpeech_single_speaker,LJ007-0195.wav,,real
015092.wav,बॉयोगैस एक प्रकार से गैसों का मिश्रण है जो सूक्ष्मजीवी सक्रियता द्वारा उत्पन्न होती हैं|,hi,unknown,sample_15208,,real
009644.wav,"कंबन म्हणाला अरे वेड्या, हा काय प्रकार चालवला आहेस ?",mr,unknown,,male,real
013028.wav,संभाजी महाराज का कार्यकाल शिवाजी महाराज के पश्चात हुए मराठों के स्वतंत्रता युद्ध का प्रथम अध्याय है । ,hi,unknown,sample_13130,,real
008303.wav,"पावित्र्य हे न बोलता बोलते, व न शिकविता शिकविते.",mr,unknown,,male,real
016123.wav,ऐसा इसलिए क्योंकि मैं व्यवस्था में अंतर लाना चाहता था।,hi,unknown,sample_16245,,real
006042.wav,Other things besides rising dough get on quite as well without your standing by to watch them.,en,LJSpeech_single_speaker,LJ020-0108.wav,,real
005205.wav,"Inspector Thain, who, being unable to obtain his extradition legally, had him inveigled on board an English steamer,",en,LJSpeech_single_speaker,LJ018-0068.wav,,real
002639.wav,"These crimes had their origin too often in the disordered brains of lunatics at large, like Captain Goode.",en,LJSpeech_single_speaker,LJ010-0048.wav,,real
011224.wav,जिससे इसमें संशोधन कर अनिवार्य सोर्सिंग की जगह प्राथमिकता के आधार पर सोर्सिंग कर दिया गया था,hi,unknown,sample_11308,,real
020542.wav,"करीब तीन घंटे तक आरपीएफ स्टाफ ने प्लेटफार्म, वेटिंग हाल, शौचालय, पार्सल ऑफिस, बुकिंग ऑफिस, मुसाफिर खाने सहित अन्य जगहों पर सर्चिंग की",hi,unknown,sample_20697,,real
013621.wav,"जानकारी के मुताबिक, कश्मीर के डांगरपोरा, क्रालपोरा, मचुवा, गुंड, चाकपोरा, वाथुरा, सुत्सू, कलां, काठीपोरा और नौगाम में आतंकियों की आवाजाही देखी गई है।",hi,unknown,sample_13726,,real
010705.wav,"Oswald praised Khrushchev and suggested that he and McBride join the Communist Party, quote, to take advantage of their social functions, end quote.",en,LJSpeech_single_speaker,LJ041-0031.wav,,real
018239.wav,"इस फिल्म में अर्जुन कपूर, कृति सेनन, संजय दत्त, पद्मिनी कोल्हापुरे, मोहनीश बहल जैसे कई बड़े कलाकार लीड रोल में है।",hi,unknown,sample_18375,,real
007156.wav,"अधिकारी ने कहा, ""उसके भाई हबीब ने पहले भी उसे लड़के के साथ पकड़ा था और दोनों की पिटाई की थी।""",hi,unknown,sample_7209,,real
010372.wav,"ही उषा लवकर उठणाऱ्याला संपत्ती देते, ही आकाशदेवतेची मुलगी आहे.",mr,unknown,,female,real
007728.wav,यज्ञों के अवसर पर स्त्रियाँ विविध प्रकार के स्वर्णाभूषण धारण करके आती थीं ।,hi,unknown,sample_7786,,real
019470.wav,जब ये शैवाल मर जाते हैं तो जीवाणु जैसे घटकों के लिए भोजन का कार्य करते हैं| ये अत्यधिक ऑक्सीजन का उपयोग करते हैं| इससे जल में ऑक्सीजन के स्तर में कमी हो जाती है जिससे जलीय जीव मर जाते हैं|,hi,unknown,sample_19615,,real
011327.wav,"Hands Off Cuba, end quote, an application form for, and a membership card in,",en,LJSpeech_single_speaker,LJ044-0013.wav,,real
009053.wav,इस दौरान जिलाधिकारी अनिल ढींगरा ने कहा कि परीक्षा निष्पक्ष व निर्विवादित रूप से सम्पन्न होनी चाहिए।,hi,unknown,sample_9123,,real
006709.wav,and who would be willing to support a reasonable amendment if they could agree on one.,en,LJSpeech_single_speaker,LJ024-0114.wav,,real
003848.wav,"which, having possessed herself of the murdered man's keys, she rifled from end to end.",en,LJSpeech_single_speaker,LJ014-0083.wav,,real
007853.wav,"On November 4, Gerald A. Behn, agent in charge of the White House detail, asked Sorrels to examine three potential sites for the luncheon.",en,LJSpeech_single_speaker,LJ029-0076.wav,,real
004605.wav,येथे रशियातील सर्वात लोकप्रीय कवी पुश्कीनचा पुतळा आहे.,mr,unknown,,female,real
003936.wav,स्पष्टतः मन्दिरों और संप्रदायों को प्रश्रय देना शासकों के लिए महत्त्वपूर्ण था जो इन देव-स्थलों में प्रतिष्ठित देवी-देवताओं से संबंध के माध्यम से अपनी सत्ता को स्थापित करने तथा वैधता प्रदान करने का प्रयास कर रहे थे|,hi,unknown,sample_3960,,real
018367.wav,मलेरिया परजीवी को दूसरे परपोषियों पर फैलने के लिए रोगवाहक की आवश्यकता पड़ती है|,hi,unknown,sample_18504,,real
008867.wav,"इनमें से कुछ इन भिन्नताओं के अनुरूप ढल जाते हैं और अन्य जो कुछ हद तक विशिष्ट होते हैं, इन्हें ध्यानपूर्वक अपने वृत्तांतों में लिख लेते हैं, जिनमें असामान्य तथा उल्लेखनीय बातों को अधिक महत्त्व दिया जाता है|",hi,unknown,sample_8935,,real
009728.wav,ते गाव त्यांच्या वस्तीपासून बरेच दूर होते.,mr,unknown,,male,real
000136.wav,त्यांनाच विचारले तात्या इथे शिवराय कुठे राहतात.,mr,unknown,,female,real
019589.wav,"वहीं, अगर जीएसटी के संदर्भ में देखें तो इन्फ़्लो बढ़ा है",hi,unknown,sample_19734,,real
006166.wav,इस प्रकार से गरीब लोगों की मदद भी हो जाएगी तथा निगम की जमीन पर अवैध कब्जों को बढ़ावा भी नहीं मिलेगा।,hi,unknown,sample_6208,,real
006892.wav,"इस अवसर पर दलेल सिंह खटकड़, इंद्र सिंह ढुल, बलजीत सिंह ढांडा, जरनैल सिंह ढांडा इत्यादि मौजूद थे।",hi,unknown,sample_6942,,real
009558.wav,"ट्रस्ट के सचिव ने मुझे एक लिफाफा देते हुए कहा, ‘‘गंगा मैडम दाह संस्कार करने का अधिकार आपको देकर गई हैं|",hi,unknown,sample_9630,,real
010376.wav,"Simmons testified that familiarity with the bolt could be achieved in dry practice and, as has been indicated above,",en,LJSpeech_single_speaker,LJ039-0190.wav,,real
011824.wav,"The Secretary of the Treasury submitted this planning document on August 31, 1964,",en,LJSpeech_single_speaker,LJ046-0023.wav,,real
008066.wav,वर्तमान समय में निजी चलि रेडियो सेवाएँ शुरू हुई हैं| जैसे-रेडियो मिरची|,hi,unknown,sample_8125,,real
000032.wav,आयुष्यात चांगली कमाई करून आणि स्वत: चांगले जीवन जगूनसुद्धा त्याच्या पाच मुलांमध्ये सदान्-कदा चालणाऱ्या भांडणांमुळे तो दु:खी होई.,mr,unknown,,female,real
007757.wav,इस अवसर पर स्कूल की प्रिंसिपल साध्वी नीलिमा विश्वास ने बच्चों को गर्मी से बचने के लिए कुछ हिदायतें दीं,hi,unknown,sample_7815,,real
009293.wav,"मला पोहता येत नव्हतं, मी गटांगळया खाऊ लागलो.",mr,unknown,,male,real
006054.wav,"पारस की अमूल्यता दूसरों का मूल्य बढ़ाने में है| उसके मूल्य में न कोई कुछ जोड़ सकता है, न घटा सकता है|",hi,unknown,sample_6096,,real
007113.wav,"जी हाँ फेंकू तो हैं , चोरलुटेरो को उखाड़ फेंका, गन्दगी को उखाड़ फेंका ,कालाधन उखाड़ फेंका और त्रुष्टिकरण को भी उखाड़ फेंका।",hi,unknown,sample_7165,,real
006364.wav,to make a major attack upon the problem of unemployment.,en,LJSpeech_single_speaker,LJ022-0113.wav,,real
016688.wav,जमदग्नि ऋषि तमसा नदी के किनारे बसे उस स्थान पर गये जहां भृगु ऋषि रहते थे।,hi,unknown,sample_16814,,real
005196.wav,कार्ल मार्क्स ने हमे बताया कि किस प्रकार पूंजीवाद का पूरा ढाँचा मज़दूरों के शोषण पर टिका है।,hi,unknown,sample_5233,,real
009191.wav,are consistent with his having been at the window at 12:30 p.m.,en,LJSpeech_single_speaker,LJ035-0006.wav,,real
009707.wav,He looked west on 10th and saw a man running to the west and a policeman falling to the ground.,en,LJSpeech_single_speaker,LJ037-0094.wav,,real
000415.wav,अनेक नदियाँ उच्चभूमि के उत्तर भाग में प्रारंभ होती हैं और अटलांटिक महासागर में जाकर मिलती हैं।,hi,unknown,sample_417,,real
001360.wav,"देवाने माणसाला विचारले, तू तुझे हे शेत कधी नांगरले.",mr,unknown,,female,real
000267.wav,मन बहुत दुखी हो रहा था- ओह ! भगवान भी कैसी-कैसी परिस्थितियों में लोगों को डालते रहते हैं?,hi,unknown,sample_269,,real
007823.wav,इसमें तन्वी आज़मी और कृति खरबंदा जैसे सितारे भी प्रमुख भूमिकाओं में हैं।,hi,unknown,sample_7881,,real
003936.wav,"आणि मराठी रंगभूमीची सद्यःस्थिती इतकी संपन्न आहे की, मराठी माणसांनी आजच्या नाटकाचाही अभिमान अधिकारपरत्वे जरूर मिरवावा.",mr,unknown,,female,real
012937.wav,"This is especially necessary with regard to the FBI and CIA,",en,LJSpeech_single_speaker,LJ050-0115.wav,,real
012460.wav,"डेरी उद्योग की भाँति कुक्कुट फार्म प्रबंधन के लिए भी उपयुक्त नस्लें, सही, सुरक्षित फार्म की परिस्थितियाँ, सही-सही आहार तथा जल और सफाई एवं स्वास्थ्य महत्त्वपूर्ण घटक हैं|",hi,unknown,sample_12556,,real
006543.wav,कय्युम याला आणखीन दोन दिवसांनी मारहाण करून सोडून दिले.,mr,unknown,,male,real
003542.wav,घरगुती उपचार म्हणून यावर कोरफडीचा गर किंवा आंबेहळद लावली जाते.,mr,unknown,,female,real
001437.wav,"One was Mr. William Crawford, the other the Rev. Whitworth Russell.",en,LJSpeech_single_speaker,LJ006-0018.wav,,real
006163.wav,इसलिए इस विषम परमाणु या विषम परमाणुओं के समूह को क्रियात्मक समूह कहते हैं|,hi,unknown,sample_6205,,real
010916.wav,झोटींगांपेक्षा प्रेमदेवताच जगाचा अधिक लवकर विकास करू शकते.,mr,unknown,,female,real
013718.wav,"यदि आपसे कहा जाए कि गोबर के उपले, कोयला और एलपीजी को जला कर पानी की एक निश्चित मात्रा को उबालें, तो आप कौन से ईंधन को चुनेंगे?",hi,unknown,sample_13823,,real
014814.wav,अलवार और नयनार संतों की रचनाओं को वेद जितना महत्त्वपूर्ण बताकर इस परंपरा को सम्मानित किया गया|,hi,unknown,sample_14929,,real
021558.wav,कंबाइंड शॉट एस्ट्रोजन और प्रोजेस्टरोन नाम की दो अलग प्रकार की हार्मोन सुई होती है।,hi,unknown,sample_21717,,real
003807.wav,चूँकि मैं पिछले साल ग्रैंड स्लैंम खेला था तो मुझे काफी सहूलियत हुई खुद को वातावरण के अनुकूल बनाने में,hi,unknown,sample_3831,,real
005067.wav,त्याने आपली व्यथा अंगद नावाच्या मुनीला सांगितली.,mr,unknown,,male,real
009066.wav,"कोळी त्या माशाला म्हणाला, उद्याचे कोणी पाहिले आहे.",mr,unknown,,male,real
004423.wav,ये नज़्म उन्होंने अपनी नई किताब 'तुम्हें मौसम बुलाते हैं' के उन्वान में लिखी है,hi,unknown,sample_4454,,real
002185.wav,"एक अच्छी, पतली रबड़ की शीट भी लीजिए| आप गुब्बारे की रबड़ का प्रयोग कर सकते हैं|",hi,unknown,sample_2201,,real
020073.wav,क्षेत्र की सामाजिक संस्था सोसायटी फॉर एजुकेशन एण्ड वैलफेयर एक्टिविटिज द्वारा आयोजित सॉफ्ट ट्वायस प्रशिक्षण कोर्स एंव ब्यूटीपार्लर प्रशिक्षण कोर्स संपन्न हुआ।,hi,unknown,sample_20223,,real
008983.wav,Behind these boxes was another carton placed on the floor on which a man sitting,en,LJSpeech_single_speaker,LJ034-0016.wav,,real
005888.wav,"they were at liberty to hire suitable cell accommodation from any neighbors who might have it to spare; the only proviso,",en,LJSpeech_single_speaker,LJ019-0353.wav,,real
018499.wav,"किसान अपनी फसल उत्पाद का भण्डारण जूट के बोरों, धातु के बड़े पात्र में करते हैं|",hi,unknown,sample_18636,,real
007560.wav,"I will desert to the enemy as I am, and when I get into their city I will tell them that it is by thee that I have been thus treated.",en,LJSpeech_single_speaker,LJ028-0302.wav,,real
018406.wav,"गुरु गोबिन्द सिंह के नेतृत्व में समुदाय एक सामाजिक, धार्मिक और सैन्य बल के रूप में संगठित होकर सामने आया|",hi,unknown,sample_18543,,real
007830.wav,वायू सर्व दिशांना हिंडतो म्हणून त्याला हे ज्ञान असते.,mr,unknown,,male,real
003732.wav,"ह्या चौथऱ्यावर सभामंडप आहे आणि सभामंडपला लागून, पूर्वेकडे देवाचे शेजघर आहे.",mr,unknown,,female,real
